Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
148113329; 149610558; 20202; 
148113329; 149610558; 5735; 149633017; []; 1; 2; 1; 2; -1; 175587084.314338; 154503664.000000; 12.007387; 175587084.314338; 175587084.314338; 154503664.000000; 100.000000; 113.645903; 
148113329; 149610356; 20202; 
148113329; 149610356; 5735; 149633062; []; 1; 1; 1; 1; 0; 152205207.632348; 136071337.500000; 10.600078; 152205207.632348; 152205207.632348; 136071337.500000; 100.000000; 111.856920; 
148113329; 149610194; 20202; 
148113329; 149610194; 5735; 149633101; []; 1; 2; 1; 2; -1; 158726587.500000; 158726587.500000; 0.000000; 158726587.500000; 158726587.500000; 158726587.500000; 100.000000; 100.000000; 
148113329; 149610183; 20202; 
148113329; 149610183; 5735; 149633156; []; 1; 2; 2; 3; -1; 157982764.237883; 157982764.237883; 0.000000; 157982764.237883; 157982764.237883; 157982764.237883; 100.000000; 100.000000; 
148113329; 149609464; 20202; 6982; [];5; 4; 5; 4; 1; 392498.282896; 71195.000000; 81.861067; 392498.282896; 392498.282896; 71195.000000; 100.000000; 551.300348; 
148113329; 149609464; 5735; 149633209; []; 1; 1; 1; 1; 0; 154671277.912098; 139651087.500000; 9.711040; 154671277.912098; 154671277.912098; 139651087.500000; 100.000000; 110.755513; 
148113329; 149609236; 20202; 149869645; []; 3; 24; 3; 24; -21; 440701.775538; 450665.733723; -2.260930; 440701.775538; 440701.775538; 450665.733723; 100.000000; 97.789058; 
148113329; 149609236; 5735; 149633241; []; 1; 1; 1; 1; 0; 151758488.000000; 151758488.000000; 0.000000; 151758488.000000; 151758488.000000; 151758488.000000; 100.000000; 100.000000; 
148113329; 149609031; 20202; 149875065; []; 8; 16; 8; 16; -8; 850649.088597; 516834.998796; 39.242279; 850649.088597; 850649.088597; 516834.998796; 100.000000; 164.588136; 
148113329; 149609031; 5735; 149633273; []; 1; 1; 1; 1; 0; 154721009.846374; 137180700.000000; 11.336734; 154721009.846374; 154721009.846374; 137180700.000000; 100.000000; 112.786281; 
148113329; 149608771; 20202; 6982; [];7; 6; 7; 6; 1; 679441.985662; 488626.000000; 28.084221; 679441.985662; 679441.985662; 488626.000000; 100.000000; 139.051542; 
148113329; 149608771; 5735; 149633305; []; 1; 1; 1; 1; 0; 151587556.301569; 134897850.000000; 11.009945; 151587556.301569; 151587556.301569; 134897850.000000; 100.000000; 112.372107; 
148113329; 149608559; 20202; 6982; [];17; 10; 17; 10; 7; 1877691.035186; 317968.000000; 83.066011; 1877691.035186; 1877691.035186; 317968.000000; 100.000000; 590.528303; 
148113329; 149608559; 5735; 149633345; []; 1; 2; 1; 2; -1; 146586882.000000; 146586882.000000; 0.000000; 146586882.000000; 146586882.000000; 146586882.000000; 100.000000; 100.000000; 
148113329; 149608193; 20202; 149884986; []; 15; 24; 15; 24; -9; 2129354.489742; 342221.010851; 83.928415; 2129354.489742; 2129354.489742; 342221.010851; 100.000000; 622.216177; 
148113329; 149608193; 5735; 149633390; []; 1; 2; 1; 2; -1; 159927598.673913; 161359450.000000; -0.895312; 159927598.673913; 159927598.673913; 161359450.000000; 100.000000; 99.112632; 
148113329; 149607623; 20202; 149886859; []; 11; 1056; 15; 1110; -1095; 1873200.769778; 12687899.721117; -577.337951; 1873200.769778; 1873200.769778; 12687899.721117; 100.000000; 14.763679; 
148113329; 149607623; 5735; 149633435; []; 1; 1; 1; 1; 0; 160035771.186599; 153056694.000000; 4.360948; 160035771.186599; 160035771.186599; 153056694.000000; 100.000000; 104.559799; 
148113329; 149607323; 20202; 
148113329; 149607323; 5735; 149633467; []; 1; 1; 1; 1; 0; 120107475.000000; 120107475.000000; 0.000000; 120107475.000000; 120107475.000000; 120107475.000000; 100.000000; 100.000000; 
148113329; 149607132; 20202; 
148113329; 149607132; 5735; 149633504; []; 1; 1; 2; 2; 0; 132947870.873455; 119511425.312221; 10.106552; 132947870.873455; 132947870.873455; 119511425.312221; 100.000000; 111.242813; 
148113329; 149606930; 20202; 
