Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
21903232; 21907393; 20202; 22554182; []; 26; 76; 26; 81; -55; 105747741.042752; 107597491.197591; -1.749210; 105747741.042752; 105747741.042752; 107597491.197591; 100.000000; 98.280861; 
21903232; 21907393; 5735; 22587764; []; 2; 3; 2; 3; -1; 354948478.500000; 354948478.500000; 0.000000; 354948478.500000; 354948478.500000; 354948478.500000; 100.000000; 100.000000; 
21903232; 21907350; 20202; 66376117; []; 9; 25; 10; 32; -22; 94163032.005797; 90454357.884450; 3.938567; 94163032.005797; 94163032.005797; 90454357.884450; 100.000000; 104.100050; 
21903232; 21907350; 5735; 22587823; []; 2; 3; 2; 3; -1; 335483437.500000; 335483437.500000; 0.000000; 335483437.500000; 335483437.500000; 335483437.500000; 100.000000; 100.000000; 
21903232; 21907307; 20202; 22584965; []; 21; 63; 27; 72; -45; 80830694.841876; 82020941.803772; -1.472519; 80830694.841876; 80830694.841876; 82020941.803772; 100.000000; 98.548850; 
21903232; 21907307; 5735; 22587882; []; 2; 3; 2; 3; -1; 310772812.500000; 310772812.500000; 0.000000; 310772812.500000; 310772812.500000; 310772812.500000; 100.000000; 100.000000; 
21903232; 21907264; 20202; 22602944; []; 28; 96; 32; 107; -75; 62187607.172027; 65343684.086235; -5.075090; 62187607.172027; 62187607.172027; 65343684.086235; 100.000000; 95.170035; 
21903232; 21907264; 5735; 22587941; []; 2; 3; 2; 3; -1; 270822200.000000; 270822200.000000; 0.000000; 270822200.000000; 270822200.000000; 270822200.000000; 100.000000; 100.000000; 
21903232; 21907221; 20202; 22618581; []; 35; 102; 39; 111; -72; 115494126.927411; 117887255.532873; -2.072078; 115494126.927411; 115494126.927411; 117887255.532873; 100.000000; 97.969985; 
21903232; 21907221; 5735; 22588000; []; 3; 3; 3; 3; 0; 408414560.000000; 408414560.000000; 0.000000; 408414560.000000; 408414560.000000; 408414560.000000; 100.000000; 100.000000; 
21903232; 21907178; 20202; 66401343; []; 10; 27; 14; 31; -17; 49431512.501294; 48896479.238968; 1.082373; 49431512.501294; 49431512.501294; 48896479.238968; 100.000000; 101.094216; 
21903232; 21907178; 5735; 14; [];1; 1; 1; 1; 0; 243570688.000000; 243570688.000000; 0.000000; 243570688.000000; 243570688.000000; 243570688.000000; 100.000000; 100.000000; 
21903232; 21907135; 20202; 22645584; []; 41; 74; 46; 84; -38; 101098023.104238; 101004053.713512; 0.092949; 101098023.104238; 101098023.104238; 101004053.713512; 100.000000; 100.093035; 
21903232; 21907135; 5735; 22588078; []; 2; 2; 2; 2; 0; 396606802.000000; 396606802.000000; 0.000000; 396606802.000000; 396606802.000000; 396606802.000000; 100.000000; 100.000000; 
